,date,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,betten_frei,betten_belegt
960,2022-12-10,980,322,2489,20408
961,2022-12-11,987,321,2737,20121
962,2022-12-12,1069,359,2683,20327
963,2022-12-13,1106,367,2370,20714
964,2022-12-14,1074,389,2363,20718
965,2022-12-15,1079,387,2272,20698
966,2022-12-16,1124,408,2279,20677
967,2022-12-17,1105,409,2406,20339
968,2022-12-18,1136,415,2523,20123
969,2022-12-19,1175,427,2523,20229
970,2022-12-20,1195,443,2365,20552
971,2022-12-21,1230,451,2273,20656
